metric,n_human,n_llm,mean_human,mean_llm,median_human,median_llm,std_human,std_llm,diff_means,cohens_d,abs_cohens_d,p_value,higher_in,q_value_fdr
flesch,5391,5391,47.9116393081061,25.657849335930255,48.50713,25.22102,15.823077373804418,9.626813160229087,22.25378997217585,1.699195073232533,1.699195073232533,0.0,human,0.0
punctuation_diversity,5391,5391,0.2621123279539974,0.11818858467816733,0.23529,0.10526,0.14261530841342404,0.057904713584528894,0.14392374327583007,1.322348204200071,1.322348204200071,0.0,human,0.0
idade_aquisicao_1_25_ratio,5391,5391,0.11998621962530144,0.05228086996846597,0.10909,0.04839,0.0675589807404843,0.027785019636827606,0.06770534965683547,1.3107533912047682,1.3107533912047682,0.0,human,0.0
imageabilidade_4_55_ratio,5391,5391,0.6591361769616026,0.5438498701539604,0.66038,0.54545,0.0991682786803352,0.07521875481981617,0.11528630680764229,1.3098937108519348,1.3098937108519348,0.0,human,0.0
short_sentence_ratio,5391,5391,0.3463814004822853,0.12319145984047486,0.33333,0.09091,0.2081874555599546,0.13158795756435132,0.2231899406418104,1.2815858189314757,1.2815858189314757,0.0,human,0.0
imageabilidade_mean,5391,5391,4.381159543683919,4.165421535893155,4.36381,4.14951,0.1997881309246916,0.1442998234211829,0.21573800779076358,1.2379763866439086,1.2379763866439086,0.0,human,0.0
concretude_mean,5391,5391,4.207834585420144,3.997661086996846,4.18893,3.9858,0.22256533287605215,0.14204877065072483,0.21017349842329835,1.1257332721138549,1.1257332721138549,0.0,human,0.0
familiaridade_55_7_ratio,5391,5391,0.23716176776108328,0.15936489705063997,0.23077,0.15493,0.08662324442794345,0.04718018468631565,0.0777968707104433,1.1153999184438803,1.1153999184438803,0.0,human,0.0
function_word_diversity,5391,5391,0.4800690521239102,0.3793530031534038,0.456,0.37,0.12037929559855597,0.05885305691604677,0.1007160489705064,1.0629741456383222,1.0629741456383222,0.0,human,0.0
concretude_4_55_ratio,5391,5391,0.48415487850120575,0.4025285420144686,0.48062,0.40196,0.10310140631304832,0.06187962935233997,0.08162633648673717,0.9600113035769094,0.9600113035769094,0.0,human,0.0
idade_aquisicao_25_4_ratio,5391,5391,0.22988553886106475,0.16328136709330365,0.22222,0.15972,0.0872937410399584,0.04692729448701437,0.0666041717677611,0.9504041524819611,0.9504041524819611,0.0,human,0.0
cross_entropy,5391,5391,0.6651314542756447,0.5825776850306066,0.65583,0.57624,0.11437468043804905,0.060091994018986884,0.0825537692450381,0.9036280694335516,0.9036280694335516,0.0,human,0.0
lsa_givenness_std,5391,5391,0.1432515154887776,0.07039127249118901,0.10873,0.05411,0.10197459334814331,0.054258287747491224,0.07286024299758859,0.8920361590012655,0.8920361590012655,0.0,human,0.0
preposition_diversity,5391,5391,0.494144333147839,0.3827770320905212,0.47368,0.36538,0.14856464304982783,0.09736393348911977,0.11136730105731779,0.8866757471753458,0.8866757471753458,0.0,human,0.0
lsa_paragraph_std,5391,5391,0.10768121684288628,0.02903982192543127,0.07511,0.02189,0.12083903539816396,0.03430961300632241,0.07864139491745502,0.8853671672077649,0.8853671672077649,2.7697930025365828e-160,human,6.155095561192407e-160
lsa_span_std,5391,5391,0.1399546466332777,0.06650971062882582,0.10147,0.05044,0.10456314881821205,0.05353723083293977,0.07344493600445187,0.8841831491393212,0.8841831491393212,0.0,human,0.0
content_word_standard_deviation,5391,5391,0.10716582452235207,0.0674656742719347,0.08845,0.06372,0.059229243198071733,0.023711502732665243,0.03970015025041737,0.8800186545691989,0.8800186545691989,0.0,human,0.0
verbs_ambiguity,5391,5391,9.995759287701725,8.413963322203672,9.84615,8.30303,2.2662455588130395,1.3113505108400725,1.5817959654980527,0.8543692432882043,0.8543692432882043,0.0,human,0.0
lsa_adj_std,5391,5391,0.15808503246150993,0.08074238731218697,0.11966,0.06373,0.11339899753736976,0.06049286169233735,0.07734264514932296,0.8510318946045335,0.8510318946045335,0.0,human,0.0
familiaridade_mean,5391,5391,4.806994429604897,4.693619475051011,4.80847,4.68795,0.1879116983030872,0.11844386204926588,0.11337495455388602,0.7218278434231593,0.7218278434231593,1.594495246899885e-288,human,4.555700705428243e-288
