metric,n_human,n_llm,mean_human,mean_llm,median_human,median_llm,std_human,std_llm,diff_means,cohens_d,abs_cohens_d,p_value,higher_in,q_value_fdr
syllables_per_content_word,5391,5391,2.7148913745130776,3.0484151233537378,2.71717,3.0531,0.22193939985040562,0.14554308864987844,-0.33352374884066016,-1.7771841592319781,1.7771841592319781,0.0,llm,0.0
idade_aquisicao_mean,5391,5391,4.718819172695232,5.3163879094787605,4.73681,5.34235,0.4516605483991745,0.2766161875933694,-0.5975687367835283,-1.5956064254570461,1.5956064254570461,0.0,llm,0.0
honore,5391,5391,879.0764765201261,1240.6507563439066,863.97832,1211.93346,239.9876499671364,215.746457933484,-361.57427982378044,-1.5845373363776523,1.5845373363776523,0.0,llm,0.0
content_word_diversity,5391,5391,0.8002788091263217,0.8949147727694304,0.80851,0.89773,0.07955457379834595,0.03692930880495861,-0.09463596364310878,-1.5259197490573186,1.5259197490573186,0.0,llm,0.0
long_sentence_ratio,5391,5391,0.4797026692635875,0.7568862641439436,0.5,0.77778,0.21102020596552087,0.16826288603977443,-0.27718359488035604,-1.4524186275338986,1.4524186275338986,0.0,llm,0.0
imageabilidade_25_4_ratio,5391,5391,0.2850025208681135,0.4256672027453163,0.28125,0.42636,0.11096633299641775,0.08833288082900126,-0.14066468187720277,-1.4025773622205486,1.4025773622205486,0.0,llm,0.0
idade_aquisicao_55_7_ratio,5391,5391,0.2894509552958635,0.4069530124281209,0.28947,0.40845,0.09908981923444354,0.06622981494591092,-0.11750205713225736,-1.3942385514002615,1.3942385514002615,0.0,llm,0.0
words,5391,5391,175.06677796327213,327.7590428491931,147.0,322.0,124.85177702512966,122.06385232290287,-152.692264885921,-1.2367182515117348,1.2367182515117348,0.0,llm,0.0
infinite_subordinate_clauses,5391,5391,0.14623546651827118,0.2801635299573363,0.14815,0.28571,0.13037260254985264,0.0944491306580637,-0.1339280634390651,-1.176491367606362,1.176491367606362,0.0,llm,0.0
subordinate_clauses,5391,5391,0.294212435540716,0.4981713003153404,0.35,0.51667,0.21686534823589743,0.13090195830897716,-0.20395886477462438,-1.1386898047011895,1.1386898047011895,0.0,llm,0.0
ttr,5391,5391,0.7250868966796513,0.7806113225746615,0.73049,0.78131,0.06426970828990923,0.02634796416137284,-0.055524425895010165,-1.130469732573309,1.130469732573309,0.0,llm,0.0
gerund_verbs,5391,5391,0.03622123724726396,0.09718408829530699,0.0,0.09524,0.05746006943189579,0.05241248855784602,-0.060962851048043026,-1.108531963898868,1.108531963898868,0.0,llm,0.0
non-inflected_verbs,5391,5391,0.2561556965312558,0.424962999443517,0.30435,0.44118,0.1868888616639728,0.11214992375716631,-0.1688073029122612,-1.0953081770924078,1.0953081770924078,0.0,llm,0.0
concretude_25_4_ratio,5391,5391,0.4413529011315155,0.5465241253941755,0.44615,0.54887,0.11481293480331209,0.07363066264895715,-0.10517122426266001,-1.0904726538520466,1.0904726538520466,0.0,llm,0.0
positive_words,5391,5391,0.3436539844184753,0.4590224540901502,0.33673,0.45091,0.12085965297062885,0.0926147418476204,-0.11536846967167491,-1.071526289042253,1.071526289042253,0.0,llm,0.0
lsa_givenness_mean,5391,5391,0.7746063253570765,0.8665498441847523,0.80025,0.8765,0.11663882645957738,0.044493851885786924,-0.09194351882767582,-1.0415789835175873,1.0415789835175873,0.0,llm,0.0
lsa_all_mean,5391,5391,0.6807739621591542,0.793017245409015,0.71084,0.80812,0.13768357014172022,0.06775704991217099,-0.11224328324986077,-1.034428183036823,1.034428183036823,0.0,llm,0.0
lsa_span_mean,5391,5391,0.8012966444073454,0.8893606696345762,0.83073,0.89878,0.11809882376931295,0.03850649650194001,-0.08806402522723078,-1.0026039396246011,1.0026039396246011,0.0,llm,0.0
lsa_adj_mean,5391,5391,0.6971807122982749,0.8083416657391951,0.73377,0.82151,0.14791809791543803,0.06635161897218758,-0.11116095344092014,-0.9696959199659417,0.9696959199659417,0.0,llm,0.0
familiaridade_4_55_ratio,5391,5391,0.6011972843628269,0.6714038898163607,0.60328,0.67273,0.09022201421075383,0.050503623865513526,-0.07020660545353374,-0.9602655898085805,0.9602655898085805,0.0,llm,0.0
